time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone
2024-11-26 08:00:00,17.9,17.7,232.0,48.6,10.0
2024-11-26 09:00:00,15.0,14.6,210.0,45.6,14.0
2024-11-26 10:00:00,13.6,12.8,214.0,45.2,15.0
2024-11-26 11:00:00,14.5,13.0,236.0,46.2,15.0
2024-11-26 12:00:00,19.1,17.8,259.0,51.2,10.0
2024-11-26 13:00:00,20.4,18.2,283.0,48.9,14.0
2024-11-26 14:00:00,18.0,15.7,309.0,45.4,20.0
2024-11-26 15:00:00,14.5,12.7,325.0,40.3,27.0
2024-11-26 16:00:00,11.7,10.9,326.0,31.7,36.0
2024-11-26 17:00:00,8.6,8.5,317.0,21.4,45.0
2024-11-26 18:00:00,5.7,5.7,305.0,14.5,52.0
2024-11-26 19:00:00,4.7,4.7,281.0,13.1,55.0
2024-11-26 20:00:00,4.0,4.0,254.0,15.0,56.0
2024-11-26 21:00:00,4.7,4.6,250.0,19.0,53.0
2024-11-26 22:00:00,5.2,5.2,296.0,25.8,45.0
2024-11-26 23:00:00,6.1,6.0,366.0,34.6,34.0
2024-11-27 00:00:00,12.4,12.3,409.0,36.7,33.0
2024-11-27 01:00:00,11.5,11.4,401.0,40.8,27.0
2024-11-27 02:00:00,11.5,11.4,366.0,46.3,20.0
2024-11-27 03:00:00,12.1,12.0,330.0,49.0,15.0
2024-11-27 04:00:00,12.5,12.5,297.0,46.4,15.0
2024-11-27 05:00:00,12.5,12.5,263.0,41.1,18.0
2024-11-27 06:00:00,12.3,12.2,239.0,36.4,21.0
2024-11-27 07:00:00,11.8,11.8,228.0,32.9,22.0
2024-11-27 08:00:00,11.4,11.4,228.0,29.9,23.0
2024-11-27 09:00:00,11.3,11.3,239.0,29.3,22.0
2024-11-27 10:00:00,11.5,11.5,271.0,33.5,16.0
2024-11-27 11:00:00,12.8,12.8,315.0,40.0,8.0
2024-11-27 12:00:00,12.3,12.1,346.0,41.5,3.0
2024-11-27 13:00:00,13.2,13.1,354.0,36.9,10.0
2024-11-27 14:00:00,13.0,12.9,349.0,30.5,19.0
2024-11-27 15:00:00,10.4,10.1,334.0,25.0,28.0
2024-11-27 16:00:00,7.5,7.2,302.0,20.3,37.0
2024-11-27 17:00:00,6.2,6.0,260.0,16.5,45.0
2024-11-27 18:00:00,6.0,5.8,237.0,16.2,48.0
2024-11-27 19:00:00,6.2,6.0,244.0,21.5,43.0
2024-11-27 20:00:00,6.6,6.4,268.0,30.4,32.0
2024-11-27 21:00:00,9.1,8.8,302.0,38.7,22.0
2024-11-27 22:00:00,14.5,14.1,350.0,45.8,14.0
2024-11-27 23:00:00,17.3,17.0,406.0,52.5,6.0
2024-11-28 00:00:00,25.5,24.9,448.0,57.5,0.0
2024-11-28 01:00:00,27.8,27.2,463.0,57.5,0.0
2024-11-28 02:00:00,25.7,25.2,464.0,57.5,0.0
2024-11-28 03:00:00,23.2,22.7,463.0,57.3,0.0
2024-11-28 04:00:00,22.2,21.6,462.0,56.8,0.0
2024-11-28 05:00:00,23.5,22.8,460.0,56.1,0.0
2024-11-28 06:00:00,27.0,26.1,460.0,56.0,0.0
2024-11-28 07:00:00,26.8,25.9,469.0,56.9,0.0
2024-11-28 08:00:00,23.7,23.0,481.0,58.3,0.0
2024-11-28 09:00:00,20.6,19.8,482.0,59.2,0.0
2024-11-28 10:00:00,18.0,17.2,463.0,60.0,1.0
2024-11-28 11:00:00,16.1,15.1,432.0,60.4,4.0
2024-11-28 12:00:00,19.4,18.5,402.0,63.1,1.0
2024-11-28 13:00:00,15.8,14.8,377.0,57.9,9.0
2024-11-28 14:00:00,12.7,11.6,352.0,50.6,20.0
2024-11-28 15:00:00,10.4,9.3,329.0,44.9,29.0
2024-11-28 16:00:00,10.0,8.8,300.0,42.3,34.0
2024-11-28 17:00:00,11.7,10.4,273.0,41.3,38.0
2024-11-28 18:00:00,11.1,10.3,272.0,40.9,38.0
2024-11-28 19:00:00,7.3,7.2,329.0,41.5,33.0
2024-11-28 20:00:00,5.3,5.3,413.0,42.7,25.0
2024-11-28 21:00:00,4.3,4.2,452.0,42.0,21.0
2024-11-28 22:00:00,3.6,3.4,402.0,37.6,24.0
2024-11-28 23:00:00,3.3,3.2,309.0,31.2,31.0
2024-11-29 00:00:00,4.9,4.7,235.0,25.7,36.0
2024-11-29 01:00:00,4.0,4.0,208.0,23.2,38.0
2024-11-29 02:00:00,3.3,3.3,202.0,19.6,41.0
2024-11-29 03:00:00,2.6,2.5,198.0,16.3,45.0
2024-11-29 04:00:00,2.2,2.2,190.0,13.5,50.0
2024-11-29 05:00:00,2.2,2.2,186.0,11.0,56.0
2024-11-29 06:00:00,2.5,2.4,184.0,9.7,59.0
2024-11-29 07:00:00,3.0,3.0,185.0,9.6,58.0
2024-11-29 08:00:00,3.6,3.6,189.0,10.7,53.0
2024-11-29 09:00:00,4.2,4.2,201.0,14.2,47.0
2024-11-29 10:00:00,5.0,5.0,230.0,23.1,36.0
2024-11-29 11:00:00,6.6,6.5,266.0,34.4,22.0
2024-11-29 12:00:00,6.5,6.3,292.0,43.0,10.0
2024-11-29 13:00:00,9.0,8.8,299.0,37.2,17.0
2024-11-29 14:00:00,8.1,7.9,296.0,29.1,28.0
2024-11-29 15:00:00,6.5,6.4,283.0,22.1,38.0
2024-11-29 16:00:00,5.5,5.4,253.0,17.2,47.0
2024-11-29 17:00:00,4.5,4.4,215.0,13.4,56.0
2024-11-29 18:00:00,4.0,4.0,192.0,11.8,61.0
2024-11-29 19:00:00,4.2,4.1,201.0,13.3,59.0
2024-11-29 20:00:00,4.9,4.9,225.0,16.9,52.0
2024-11-29 21:00:00,6.6,6.5,245.0,21.2,45.0
2024-11-29 22:00:00,9.3,9.2,253.0,26.7,38.0
2024-11-29 23:00:00,9.1,9.0,256.0,32.9,31.0
2024-11-30 00:00:00,12.6,12.3,256.0,31.7,33.0
2024-11-30 01:00:00,8.9,8.8,250.0,27.2,38.0
2024-11-30 02:00:00,5.7,5.6,241.0,21.0,45.0
2024-11-30 03:00:00,4.4,4.3,233.0,16.3,49.0
2024-11-30 04:00:00,4.1,4.1,228.0,14.8,48.0
2024-11-30 05:00:00,4.0,4.0,224.0,14.9,45.0
2024-11-30 06:00:00,3.8,3.8,220.0,15.0,43.0
2024-11-30 07:00:00,3.4,3.4,211.0,13.8,44.0
2024-11-30 08:00:00,3.3,3.3,202.0,12.6,46.0
2024-11-30 09:00:00,3.5,3.5,200.0,13.7,46.0
2024-11-30 10:00:00,4.1,4.1,214.0,20.2,39.0
2024-11-30 11:00:00,5.5,5.4,235.0,29.1,30.0
2024-11-30 12:00:00,4.0,4.0,249.0,28.8,31.0
2024-11-30 13:00:00,5.8,5.8,248.0,24.6,36.0
2024-11-30 14:00:00,5.5,5.5,239.0,18.7,44.0
2024-11-30 15:00:00,5.3,5.3,230.0,14.0,50.0
2024-11-30 16:00:00,5.3,5.3,223.0,11.6,54.0
2024-11-30 17:00:00,5.2,5.2,215.0,10.4,57.0
2024-11-30 18:00:00,5.0,5.0,211.0,10.3,59.0
2024-11-30 19:00:00,4.7,4.6,211.0,11.2,59.0
2024-11-30 20:00:00,4.6,4.5,214.0,13.3,58.0
2024-11-30 21:00:00,5.5,5.5,221.0,16.6,54.0
2024-11-30 22:00:00,7.4,7.4,235.0,22.4,47.0
2024-11-30 23:00:00,8.2,8.2,252.0,29.5,38.0
2024-12-01 00:00:00,11.4,11.3,262.0,28.3,38.0
2024-12-01 01:00:00,12.0,12.0,257.0,28.7,37.0
2024-12-01 02:00:00,12.8,12.8,245.0,29.1,35.0
2024-12-01 03:00:00,13.9,13.8,233.0,28.5,35.0
2024-12-01 04:00:00,14.9,14.8,223.0,25.7,37.0
2024-12-01 05:00:00,15.6,15.5,214.0,21.9,41.0
2024-12-01 06:00:00,15.9,15.8,207.0,19.1,44.0
2024-12-01 07:00:00,15.8,15.7,200.0,17.6,45.0
2024-12-01 08:00:00,15.3,15.2,196.0,17.0,46.0
2024-12-01 09:00:00,14.4,14.4,199.0,18.7,44.0
2024-12-01 10:00:00,13.6,13.6,219.0,25.0,38.0
2024-12-01 11:00:00,13.5,13.4,248.0,33.5,29.0
2024-12-01 12:00:00,10.1,10.1,265.0,32.9,31.0
2024-12-01 13:00:00,10.7,10.7,262.0,29.8,34.0
2024-12-01 14:00:00,10.0,9.9,248.0,25.4,39.0
2024-12-01 15:00:00,8.5,8.5,233.0,21.1,45.0
2024-12-01 16:00:00,7.5,7.4,217.0,16.5,53.0
2024-12-01 17:00:00,6.5,6.5,200.0,12.0,62.0
2024-12-01 18:00:00,5.4,5.3,192.0,9.9,67.0
2024-12-01 19:00:00,5.0,5.0,198.0,11.0,67.0
2024-12-01 20:00:00,5.2,5.2,213.0,14.5,64.0
2024-12-01 21:00:00,6.6,6.6,231.0,20.6,58.0
2024-12-01 22:00:00,9.4,9.3,253.0,31.5,46.0
2024-12-01 23:00:00,11.4,11.4,278.0,45.0,30.0
2024-12-02 00:00:00,15.3,15.3,298.0,59.0,14.0
2024-12-02 01:00:00,15.3,15.2,309.0,58.8,14.0
2024-12-02 02:00:00,15.2,15.1,313.0,58.3,14.0
2024-12-02 03:00:00,15.3,15.3,314.0,56.0,15.0
2024-12-02 04:00:00,15.3,15.2,310.0,50.7,19.0
2024-12-02 05:00:00,14.9,14.9,302.0,43.7,24.0
2024-12-02 06:00:00,14.4,14.4,291.0,37.5,28.0
2024-12-02 07:00:00,13.6,13.6,269.0,32.1,32.0
2024-12-02 08:00:00,12.6,12.6,244.0,27.6,35.0
2024-12-02 09:00:00,11.6,11.6,236.0,26.0,36.0
2024-12-02 10:00:00,10.9,10.9,266.0,30.6,30.0
2024-12-02 11:00:00,11.2,11.2,314.0,38.3,22.0
2024-12-02 12:00:00,10.0,10.0,342.0,40.5,20.0
2024-12-02 13:00:00,12.2,12.1,332.0,34.0,26.0
2024-12-02 14:00:00,11.0,10.9,304.0,25.0,35.0
2024-12-02 15:00:00,9.7,9.6,275.0,18.0,43.0
2024-12-02 16:00:00,8.8,8.8,246.0,14.1,48.0
2024-12-02 17:00:00,7.8,7.7,217.0,12.2,52.0
2024-12-02 18:00:00,6.9,6.9,209.0,12.9,53.0
2024-12-02 19:00:00,6.1,6.1,238.0,16.9,50.0
2024-12-02 20:00:00,5.4,5.3,288.0,23.6,43.0
2024-12-02 21:00:00,8.5,8.4,329.0,31.7,35.0
2024-12-02 22:00:00,16.1,16.1,352.0,42.6,24.0
2024-12-02 23:00:00,16.8,16.8,366.0,55.1,11.0
2024-12-03 00:00:00,15.6,15.5,368.0,60.0,7.0
2024-12-03 01:00:00,15.0,14.9,350.0,58.2,8.0
2024-12-03 02:00:00,14.7,14.6,320.0,55.5,11.0
2024-12-03 03:00:00,14.6,14.5,295.0,51.3,14.0
2024-12-03 04:00:00,14.2,14.2,282.0,44.5,20.0
2024-12-03 05:00:00,13.3,13.3,273.0,36.3,27.0
2024-12-03 06:00:00,11.9,11.8,265.0,29.5,33.0
2024-12-03 07:00:00,10.2,10.2,253.0,24.3,38.0
2024-12-03 08:00:00,8.7,8.7,241.0,20.6,41.0
2024-12-03 09:00:00,7.6,7.6,240.0,20.5,41.0
2024-12-03 10:00:00,7.0,7.0,261.0,27.8,33.0
2024-12-03 11:00:00,7.7,7.6,292.0,38.7,21.0
